PDB_NAME,QUERY_NO,START_TIME,END_TIME,EXECUTION_SECONDS,EXECUTION_DATE
PDB_ANOMALY_DET,14,2025-06-11 23:07:20.382,2025-06-11 23:07:20.383,0.001,2025-06-11 23:07:20
PDB_ANOMALY_DET,15,2025-06-11 23:07:21.532,2025-06-11 23:07:21.532,0.0,2025-06-11 23:07:21
PDB_ANOMALY_DET,16,2025-06-11 23:07:22.673,2025-06-11 23:07:22.674,0.001,2025-06-11 23:07:22
PDB_ANOMALY_DET,17,2025-06-11 23:07:23.820,2025-06-11 23:07:23.821,0.001,2025-06-11 23:07:23
PDB_ANOMALY_DET,18,2025-06-11 23:07:24.968,2025-06-11 23:07:24.968,0.0,2025-06-11 23:07:24
PDB_ANOMALY_DET,19,2025-06-11 23:07:26.095,2025-06-11 23:07:26.095,0.0,2025-06-11 23:07:26
PDB_ANOMALY_DET,20,2025-06-11 23:07:27.209,2025-06-11 23:07:27.210,0.001,2025-06-11 23:07:27
PDB_ANOMALY_DET,21,2025-06-11 23:07:28.354,2025-06-11 23:07:28.355,0.001,2025-06-11 23:07:28
PDB_ANOMALY_DET,22,2025-06-11 23:07:29.497,2025-06-11 23:07:29.497,0.0,2025-06-11 23:07:29
PDB_AI_TRAIN,1,2025-06-11 23:07:30.656,2025-06-11 23:07:30.658,0.002,2025-06-11 23:07:30
PDB_AI_TRAIN,2,2025-06-11 23:07:31.796,2025-06-11 23:07:31.797,0.001,2025-06-11 23:07:31
PDB_AI_TRAIN,3,2025-06-11 23:07:32.939,2025-06-11 23:07:32.940,0.001,2025-06-11 23:07:32
PDB_AI_TRAIN,4,2025-06-11 23:07:34.091,2025-06-11 23:07:34.091,0.0,2025-06-11 23:07:34
PDB_AI_TRAIN,5,2025-06-11 23:07:35.229,2025-06-11 23:07:35.229,0.0,2025-06-11 23:07:35
PDB_AI_TRAIN,6,2025-06-11 23:07:36.376,2025-06-11 23:07:36.377,0.001,2025-06-11 23:07:36
PDB_AI_TRAIN,7,2025-06-11 23:07:37.515,2025-06-11 23:07:37.516,0.001,2025-06-11 23:07:37
PDB_AI_TRAIN,8,2025-06-11 23:07:38.660,2025-06-11 23:07:38.661,0.001,2025-06-11 23:07:38
PDB_AI_TRAIN,9,2025-06-11 23:07:39.817,2025-06-11 23:07:39.818,0.001,2025-06-11 23:07:39
PDB_AI_TRAIN,10,2025-06-11 23:07:40.953,2025-06-11 23:07:40.953,0.0,2025-06-11 23:07:40
PDB_AI_TRAIN,11,2025-06-11 23:07:42.093,2025-06-11 23:07:42.093,0.0,2025-06-11 23:07:42
PDB_AI_TRAIN,12,2025-06-11 23:07:43.236,2025-06-11 23:07:43.237,0.001,2025-06-11 23:07:43
PDB_AI_TRAIN,13,2025-06-11 23:07:44.375,2025-06-11 23:07:44.376,0.001,2025-06-11 23:07:44
PDB_AI_TRAIN,14,2025-06-11 23:07:45.510,2025-06-11 23:07:45.511,0.001,2025-06-11 23:07:45
PDB_AI_TRAIN,15,2025-06-11 23:07:46.666,2025-06-11 23:07:46.667,0.001,2025-06-11 23:07:46
PDB_AI_TRAIN,16,2025-06-11 23:07:47.812,2025-06-11 23:07:47.813,0.001,2025-06-11 23:07:47
PDB_AI_TRAIN,17,2025-06-11 23:07:48.950,2025-06-11 23:07:48.951,0.001,2025-06-11 23:07:48
PDB_AI_TRAIN,18,2025-06-11 23:07:50.080,2025-06-11 23:07:50.080,0.0,2025-06-11 23:07:50
PDB_AI_TRAIN,19,2025-06-11 23:07:51.222,2025-06-11 23:07:51.223,0.001,2025-06-11 23:07:51
PDB_AI_TRAIN,20,2025-06-11 23:07:52.367,2025-06-11 23:07:52.368,0.001,2025-06-11 23:07:52
PDB_AI_TRAIN,21,2025-06-11 23:07:53.500,2025-06-11 23:07:53.501,0.001,2025-06-11 23:07:53
PDB_AI_TRAIN,22,2025-06-11 23:07:54.627,2025-06-11 23:07:54.628,0.001,2025-06-11 23:07:54
PDB_LOAD_TEST,1,2025-06-11 23:07:55.774,2025-06-11 23:07:55.775,0.001,2025-06-11 23:07:55
PDB_LOAD_TEST,2,2025-06-11 23:07:56.913,2025-06-11 23:07:56.914,0.001,2025-06-11 23:07:56
PDB_LOAD_TEST,3,2025-06-11 23:07:58.059,2025-06-11 23:07:58.059,0.0,2025-06-11 23:07:58
PDB_LOAD_TEST,4,2025-06-11 23:07:59.210,2025-06-11 23:07:59.211,0.001,2025-06-11 23:07:59
PDB_LOAD_TEST,5,2025-06-11 23:08:00.366,2025-06-11 23:08:00.366,0.0,2025-06-11 23:08:00
PDB_LOAD_TEST,6,2025-06-11 23:08:01.511,2025-06-11 23:08:01.512,0.001,2025-06-11 23:08:01
PDB_LOAD_TEST,7,2025-06-11 23:08:02.659,2025-06-11 23:08:02.660,0.001,2025-06-11 23:08:02
PDB_LOAD_TEST,8,2025-06-11 23:08:03.820,2025-06-11 23:08:03.821,0.001,2025-06-11 23:08:03
PDB_LOAD_TEST,9,2025-06-11 23:08:04.963,2025-06-11 23:08:04.964,0.001,2025-06-11 23:08:04
PDB_LOAD_TEST,10,2025-06-11 23:08:06.115,2025-06-11 23:08:06.116,0.001,2025-06-11 23:08:06
PDB_LOAD_TEST,11,2025-06-11 23:08:07.267,2025-06-11 23:08:07.268,0.001,2025-06-11 23:08:07
PDB_LOAD_TEST,12,2025-06-11 23:08:08.427,2025-06-11 23:08:08.428,0.001,2025-06-11 23:08:08
PDB_LOAD_TEST,13,2025-06-11 23:08:09.578,2025-06-11 23:08:09.579,0.001,2025-06-11 23:08:09
PDB_LOAD_TEST,14,2025-06-11 23:08:10.714,2025-06-11 23:08:10.714,0.0,2025-06-11 23:08:10
PDB_LOAD_TEST,15,2025-06-11 23:08:11.852,2025-06-11 23:08:11.853,0.001,2025-06-11 23:08:11
PDB_LOAD_TEST,16,2025-06-11 23:08:12.998,2025-06-11 23:08:12.999,0.001,2025-06-11 23:08:13
PDB_LOAD_TEST,17,2025-06-11 23:08:14.138,2025-06-11 23:08:14.138,0.0,2025-06-11 23:08:14
PDB_LOAD_TEST,18,2025-06-11 23:08:15.289,2025-06-11 23:08:15.290,0.001,2025-06-11 23:08:15
PDB_LOAD_TEST,19,2025-06-11 23:08:16.436,2025-06-11 23:08:16.437,0.001,2025-06-11 23:08:16
PDB_LOAD_TEST,20,2025-06-11 23:08:17.579,2025-06-11 23:08:17.580,0.001,2025-06-11 23:08:17
PDB_LOAD_TEST,21,2025-06-11 23:08:18.707,2025-06-11 23:08:18.708,0.001,2025-06-11 23:08:18
PDB_LOAD_TEST,22,2025-06-11 23:08:19.860,2025-06-11 23:08:19.861,0.001,2025-06-11 23:08:19
PDB_REALTIME,1,2025-06-11 23:08:21.011,2025-06-11 23:08:21.013,0.002,2025-06-11 23:08:21
PDB_REALTIME,2,2025-06-11 23:08:22.154,2025-06-11 23:08:22.154,0.0,2025-06-11 23:08:22
PDB_REALTIME,3,2025-06-11 23:08:23.278,2025-06-11 23:08:23.279,0.001,2025-06-11 23:08:23
PDB_REALTIME,4,2025-06-11 23:08:24.425,2025-06-11 23:08:24.426,0.001,2025-06-11 23:08:24
PDB_REALTIME,5,2025-06-11 23:08:25.566,2025-06-11 23:08:25.567,0.001,2025-06-11 23:08:25
PDB_REALTIME,6,2025-06-11 23:08:26.714,2025-06-11 23:08:26.715,0.001,2025-06-11 23:08:26
PDB_REALTIME,7,2025-06-11 23:08:27.869,2025-06-11 23:08:27.869,0.0,2025-06-11 23:08:27
PDB_REALTIME,8,2025-06-11 23:08:29.022,2025-06-11 23:08:29.023,0.001,2025-06-11 23:08:29
PDB_REALTIME,9,2025-06-11 23:08:30.169,2025-06-11 23:08:30.170,0.001,2025-06-11 23:08:30
PDB_REALTIME,10,2025-06-11 23:08:31.313,2025-06-11 23:08:31.313,0.0,2025-06-11 23:08:31
PDB_REALTIME,11,2025-06-11 23:08:32.453,2025-06-11 23:08:32.453,0.0,2025-06-11 23:08:32
PDB_REALTIME,12,2025-06-11 23:08:33.600,2025-06-11 23:08:33.601,0.001,2025-06-11 23:08:33
PDB_REALTIME,13,2025-06-11 23:08:34.748,2025-06-11 23:08:34.748,0.0,2025-06-11 23:08:34
PDB_REALTIME,14,2025-06-11 23:08:35.890,2025-06-11 23:08:35.891,0.001,2025-06-11 23:08:35
PDB_REALTIME,15,2025-06-11 23:08:37.036,2025-06-11 23:08:37.036,0.0,2025-06-11 23:08:37
PDB_REALTIME,16,2025-06-11 23:08:38.171,2025-06-11 23:08:38.171,0.0,2025-06-11 23:08:38
PDB_REALTIME,17,2025-06-11 23:08:39.322,2025-06-11 23:08:39.322,0.0,2025-06-11 23:08:39
PDB_REALTIME,18,2025-06-11 23:08:40.476,2025-06-11 23:08:40.477,0.001,2025-06-11 23:08:40
PDB_REALTIME,19,2025-06-11 23:08:41.614,2025-06-11 23:08:41.614,0.0,2025-06-11 23:08:41
PDB_REALTIME,20,2025-06-11 23:08:42.753,2025-06-11 23:08:42.754,0.001,2025-06-11 23:08:42
PDB_REALTIME,21,2025-06-11 23:08:43.891,2025-06-11 23:08:43.892,0.001,2025-06-11 23:08:43
PDB_REALTIME,22,2025-06-11 23:08:45.032,2025-06-11 23:08:45.033,0.001,2025-06-11 23:08:45
PDB_QUERY_OPT,1,2025-06-11 23:08:46.177,2025-06-11 23:08:46.178,0.001,2025-06-11 23:08:46
PDB_QUERY_OPT,2,2025-06-11 23:08:47.338,2025-06-11 23:08:47.339,0.001,2025-06-11 23:08:47
PDB_QUERY_OPT,3,2025-06-11 23:08:48.502,2025-06-11 23:08:48.503,0.001,2025-06-11 23:08:48
PDB_QUERY_OPT,4,2025-06-11 23:08:49.636,2025-06-11 23:08:49.636,0.0,2025-06-11 23:08:49
PDB_QUERY_OPT,5,2025-06-11 23:08:50.783,2025-06-11 23:08:50.783,0.0,2025-06-11 23:08:50
PDB_QUERY_OPT,6,2025-06-11 23:08:51.934,2025-06-11 23:08:51.935,0.001,2025-06-11 23:08:51
PDB_QUERY_OPT,7,2025-06-11 23:08:53.068,2025-06-11 23:08:53.069,0.001,2025-06-11 23:08:53
PDB_QUERY_OPT,8,2025-06-11 23:08:54.221,2025-06-11 23:08:54.222,0.001,2025-06-11 23:08:54
PDB_QUERY_OPT,9,2025-06-11 23:08:55.368,2025-06-11 23:08:55.369,0.001,2025-06-11 23:08:55
PDB_QUERY_OPT,10,2025-06-11 23:08:56.515,2025-06-11 23:08:56.516,0.001,2025-06-11 23:08:56
PDB_QUERY_OPT,11,2025-06-11 23:08:57.652,2025-06-11 23:08:57.653,0.001,2025-06-11 23:08:57
PDB_QUERY_OPT,12,2025-06-11 23:08:58.795,2025-06-11 23:08:58.795,0.0,2025-06-11 23:08:58
PDB_QUERY_OPT,13,2025-06-11 23:08:59.929,2025-06-11 23:08:59.930,0.001,2025-06-11 23:08:59
PDB_QUERY_OPT,14,2025-06-11 23:09:01.059,2025-06-11 23:09:01.059,0.0,2025-06-11 23:09:01
PDB_QUERY_OPT,15,2025-06-11 23:09:02.193,2025-06-11 23:09:02.193,0.0,2025-06-11 23:09:02
PDB_QUERY_OPT,16,2025-06-11 23:09:03.339,2025-06-11 23:09:03.340,0.001,2025-06-11 23:09:03
PDB_QUERY_OPT,17,2025-06-11 23:09:04.483,2025-06-11 23:09:04.484,0.001,2025-06-11 23:09:04
PDB_QUERY_OPT,18,2025-06-11 23:09:05.634,2025-06-11 23:09:05.634,0.0,2025-06-11 23:09:05
PDB_QUERY_OPT,19,2025-06-11 23:09:06.778,2025-06-11 23:09:06.779,0.001,2025-06-11 23:09:06
PDB_QUERY_OPT,20,2025-06-11 23:09:07.932,2025-06-11 23:09:07.933,0.001,2025-06-11 23:09:07
